5,Cuori,Rosso
11,Picche,Rosso
11,Quadri,Blu
4,Fiori,Rosso
2,Picche,Blu
1,Picche,Blu
8,Fiori,Blu
8,Quadri,Blu
8,Cuori,Rosso
5,Quadri,Rosso
8,Picche,Blu
9,Cuori,Rosso
10,Fiori,Rosso
3,Quadri,Rosso
3,Quadri,Blu
6,Cuori,Rosso
10,Fiori,Blu
2,Cuori,Blu
3,Cuori,Rosso
11,Fiori,Blu
12,Fiori,Blu
7,Fiori,Blu
2,Fiori,Rosso
6,Quadri,Rosso
11,Cuori,Blu
9,Quadri,Blu
7,Picche,Blu
12,Cuori,Blu
8,Picche,Rosso
11,Picche,Blu
4,Picche,Rosso
10,Quadri,Rosso
2,Quadri,Rosso
2,Cuori,Blu
12,Quadri,Rosso
12,Picche,Rosso
5,Fiori,Blu
2,Picche,Rosso
10,Picche,Rosso
4,Cuori,Blu
4,Fiori,Blu
1,Fiori,Blu
4,Quadri,Blu
9,Picche,Rosso
5,Picche,Rosso
1,Quadri,Rosso
5,Picche,Blu
8,Fiori,Rosso
6,Quadri,Blu
1,Cuori,Rosso
11,Fiori,Rosso
6,Picche,Rosso
12,Picche,Blu
7,Fiori,Rosso
2,Quadri,Blu
12,Cuori,Rosso
11,Cuori,Rosso
6,Fiori,Blu
3,Fiori,Rosso
9,Fiori,Blu
10,Cuori,Blu
4,Picche,Blu
6,Fiori,Rosso
8,Cuori,Blu
9,Picche,Blu
4,Quadri,Rosso
12,Fiori,Rosso
7,Quadri,Blu
2,Fiori,Blu
1,Fiori,Rosso
10,Picche,Rosso
9,Fiori,Rosso
1,Quadri,Blu
5,Fiori,Rosso
7,Cuori,Blu
3,Cuori,Blu
6,Picche,Blu
6,Cuori,Blu
7,Quadri,Rosso
4,Cuori,Rosso
7,Picche,Rosso
10,Picche,Blu
11,Quadri,Rosso
3,Fiori,Blu
5,Cuori,Blu
2,Cuori,Rosso
5,Quadri,Blu
1,Cuori,Blu
5,Cuori,Rosso
9,Cuori,Blu
12,Quadri,Blu
3,Picche,Rosso
8,Quadri,Rosso
7,Cuori,Rosso
1,Picche,Rosso
3,Picche,Blu